,Fnatic,Cloud9,3.0
,Team Liquid,Ninjas In Pyjamas,2.0
,Ninjas In Pyjamas,Fnatic,2.0
,Astralis,Luminosity Gaming,2.0
,Liquid,Cloud9,2.0
,Luminosity,Liquid,3.0
,Renegades,Luminosity,3.0
,Cloud9,Liquid,2.0
,Luminosity,Liquid,3.0
,Renegades,Liquid,3.0
,Cloud9,Luminosity,2.0
,Cloud9,Renegades,2.0
,Cloud9,Renegades,3.0
,Liquid,Luminosity,2.0
,Liquid,Luminosity,2.0
,Cloud9,,3.0
,Cloud9,Renegades,3.0
,Cloud9,Luminosity,2.0
,Cloud9,,3.0
,Cloud9,Luminosity,2.0
,OpTic Gaming,NiP,3.0
,OpTic,Ninjas in Pyjamas,3.0
,Selfless,G2 eSports,2.0
,Selfless,G2eSports,2.0
,G2 eSports,Ninjas in Pyjamas,3.0
,G2eSports,NinjasinPyjamas,2.0
,OpTic,G2 eSports,2.0
,OpTic,G2 eSports,3.0
,Selfless,Ninjas in Pyjamas,3.0
,Selfless,NinjasinPyjamas,2.0
,OpTic,Selfless,2.0
,OpTic,Selfless,2.0
,Selfless,G2 eSports,3.0
,Selfless,G2 eSports,2.0
,OpTic,Ninjas in Pyjamas,2.0
,OpTic,Ninjas in Pyjamas,2.0
,OpTic,Ninjas in Pyjamas,3.0
,Ninjas in Pyjamas,G2 eSports,3.0
,Ninjas in Pyjamas,G2 eSports,2.0
,NRG,Astralis,2.0
,,Astralis,2.0
,SK Gaming,CLG,3.0
,SK Gaming,CLG,3.0
,Astralis,CLG,3.0
,Astralis,CLG,3.0
,SK Gaming,NRG,3.0
,SK Gaming,Astralis,2.0
,SK Gaming,Astralis,3.0
,NRG,CLG,2.0
,NRG,CLG,3.0
,Astralis,NRG,2.0
,Astralis,NRG,2.0
,SK Gaming,CLG,2.0
,SK Gaming,CLG,3.0
,SK Gaming,CLG,3.0
,Astralis,CLG,2.0
,Astralis,CLG,2.0
,Astralis,CLG,2.0
,TSM,fnatic,3.0
,TSM,fnatic,3.0
,FaZe Clan,dignitas,3.0
,FaZe Clan,dignitas,2.0
,,fnatic,2.0
