2302609-0,0.0,Fnatic,Cloud9,3.0
2302610-0,0.0,Team Liquid,Ninjas In Pyjamas,2.0
2302612-0,0.0,Ninjas In Pyjamas,Fnatic,2.0
2302613-0,0.0,Astralis,Luminosity Gaming,2.0
2302767-0,0.0,Liquid,Cloud9,2.0
2302768-0,0.0,Luminosity,Liquid,3.0
2302769-0,0.0,Renegades,Luminosity,3.0
2302770-0,0.0,Cloud9,Liquid,2.0
2302771-0,0.0,Luminosity,Liquid,3.0
2302788-0,0.0,Renegades,Liquid,3.0
2302791-0,0.0,Cloud9,Luminosity,2.0
2302792-0,0.0,Cloud9,Renegades,2.0
2302793-0,0.0,Cloud9,Renegades,3.0
2302810-0,0.0,Liquid,Luminosity,2.0
2302810-1,0.0,Liquid,Luminosity,2.0
2302811-0,0.0,Cloud9,Renegades,3.0
2302811-1,0.0,Cloud9,Renegades,3.0
2302820-0,0.0,Cloud9,Luminosity,2.0
2302882-0,0.0,OpTic Gaming,NiP,3.0
2302883-0,0.0,OpTic,Ninjas in Pyjamas,3.0
2302884-0,0.0,Selfless,G2 eSports,2.0
2302885-0,0.0,Selfless,G2 eSports,2.0
2302886-0,0.0,G2 eSports,Ninjas in Pyjamas,3.0
2302887-0,0.0,G2 eSports,Ninjas in Pyjamas,2.0
2302888-0,0.0,OpTic,G2 eSports,2.0
2302889-0,0.0,OpTic,G2 eSports,3.0
2302890-0,0.0,Selfless,Ninjas in Pyjamas,3.0
2302891-0,0.0,Selfless,Ninjas in Pyjamas,2.0
2302892-0,0.0,OpTic,Selfless,2.0
2302893-0,0.0,OpTic,Selfless,2.0
2302911-0,0.0,Selfless,G2 eSports,3.0
2302911-1,0.0,Selfless,G2 eSports,2.0
2302912-0,0.0,OpTic,Ninjas in Pyjamas,2.0
2302912-1,0.0,OpTic,Ninjas in Pyjamas,2.0
2302912-2,0.0,OpTic,Ninjas in Pyjamas,3.0
2302913-0,0.0,Ninjas in Pyjamas,G2 eSports,3.0
2302913-1,0.0,Ninjas in Pyjamas,G2 eSports,2.0
2302976-0,0.0,NRG,Astralis,2.0
2302977-0,0.0,NRG,Astralis,2.0
2302978-0,0.0,SK Gaming,CLG,3.0
2302979-0,0.0,SK Gaming,CLG,3.0
2302980-0,0.0,Astralis,CLG,3.0
2302981-0,0.0,Astralis,CLG,3.0
2302982-0,0.0,SK Gaming,NRG,3.0
2302984-0,0.0,SK Gaming,Astralis,2.0
2302986-0,0.0,SK Gaming,Astralis,3.0
2302987-0,0.0,NRG,CLG,2.0
2302988-0,0.0,NRG,CLG,3.0
2303014-0,0.0,Astralis,NRG,2.0
2303014-1,0.0,Astralis,NRG,2.0
2303015-0,0.0,SK Gaming,CLG,2.0
2303015-1,0.0,SK Gaming,CLG,3.0
2303015-2,0.0,SK Gaming,CLG,3.0
2303027-0,0.0,Astralis,CLG,2.0
2303027-1,0.0,Astralis,CLG,2.0
2303027-2,0.0,Astralis,CLG,2.0
2303064-0,0.0,TSM,fnatic,3.0
2303065-0,0.0,TSM,fnatic,3.0
2303066-0,0.0,FaZe Clan,dignitas,3.0
2303067-0,0.0,FaZe Clan,dignitas,2.0
2303068-0,0.0,FaZe Clan,fnatic,2.0
2303069-0,0.0,FaZe Clan,fnatic,2.0
2303070-0,0.0,FaZe Clan,TSM,2.0
2303071-0,0.0,FaZe Clan,TSM,2.0
2303072-0,0.0,fnatic,dignitas,2.0
2303073-0,0.0,fnatic,dignitas,3.0
2303074-0,0.0,TSM,dignitas,2.0
2303075-0,0.0,TSM,dignitas,3.0
2303108-0,0.0,TSM,fnatic,3.0
2303108-1,0.0,TSM,fnatic,2.0
2303108-2,0.0,TSM,fnatic,2.0
2303109-0,0.0,FaZe Clan,dignitas,2.0
2303109-1,0.0,FaZe Clan,dignitas,2.0
2303116-0,0.0,FaZe Clan,fnatic,2.0
2303116-1,0.0,FaZe Clan,fnatic,3.0
2303150-0,0.0,Echo Fox,NaVi,3.0
2303151-0,0.0,Echo Fox,NaVi,2.0
2303152-0,0.0,mousesports,FlipSid3,2.0
2303153-0,0.0,mousesports,FlipSid3,3.0
2303154-0,0.0,mousesports,NaVi,3.0
2303155-0,0.0,mousesports,NaVi,2.0
2303156-0,0.0,mousesports,Echo Fox,2.0
2303157-0,0.0,mousesports,Echo Fox,3.0
2303158-0,0.0,NaVi,FlipSid3,2.0
2303159-0,0.0,NaVi,FlipSid3,3.0
2303160-0,0.0,Echo Fox,FlipSid3,2.0
2303161-0,0.0,Echo Fox,FlipSid3,2.0
2303205-0,0.0,Echo Fox,NaVi,3.0
2303205-1,0.0,Echo Fox,NaVi,3.0
2303206-0,0.0,FlipSid3,mousesports,2.0
2303206-1,0.0,FlipSid3,mousesports,2.0
2303211-0,0.0,NaVi,FlipSid3,2.0
2303211-1,0.0,NaVi,FlipSid3,2.0
2303248-0,0.0,compLexity,Virtus Pro,2.0
2303249-0,0.0,compLexity,Virtus Pro,2.0
2303250-0,0.0,EnVyUs,Gambit,2.0
2303251-0,0.0,EnVyUs,Gambit,3.0
2303252-0,0.0,EnVyUs,Virtus Pro,2.0
2303254-0,0.0,EnVyUs,compLexity,2.0
2303255-0,0.0,EnVyUs,compLexity,3.0
2303256-0,0.0,Virtus Pro,Gambit,3.0
2303257-0,0.0,Virtus Pro,Gambit,2.0
2303258-0,0.0,compLexity,Gambit,2.0
2303259-0,0.0,compLexity,Gambit,3.0
2303287-0,0.0,compLexity,EnVyUs,3.0
2303287-1,0.0,compLexity,EnVyUs,3.0
2303288-0,0.0,Virtus Pro,Gambit,2.0
2303288-1,0.0,Virtus Pro,Gambit,3.0
2303301-0,0.0,Virtus Pro,EnVyUs,2.0
2303419-0,0.0,FlipSid3,Renegades,2.0
2303419-1,0.0,FlipSid3,Renegades,2.0
2303420-0,0.0,Virtus Pro,Gambit,2.0
2303420-1,0.0,Virtus Pro,Gambit,2.0
2303421-0,0.0,mousesports,G2 Esports,2.0
2303421-1,0.0,mousesports,G2 Esports,3.0
2303421-2,0.0,mousesports,G2 Esports,2.0
2303422-0,0.0,CLG,FaZe Clan,2.0
2303422-1,0.0,CLG,FaZe Clan,2.0
2303422-2,0.0,CLG,FaZe Clan,2.0
2303456-0,0.0,Virtus Pro,Renegades,2.0
2303456-1,0.0,Virtus Pro,Renegades,2.0
2303461-0,0.0,mousesports,FaZe Clan,3.0
2303461-1,0.0,mousesports,FaZe Clan,3.0
2303461-2,0.0,mousesports,FaZe Clan,3.0
2303523-0,0.0,fnatic,EnVyUs,3.0
2303523-1,0.0,fnatic,EnVyUs,3.0
2303524-0,0.0,Cloud9,NaVi,3.0
