2302523-1,STEAM_1:0:54380041,CLG FugLy,CLG
2302523-1,STEAM_1:0:3611826,CLG tjm^v^,CLG
2302523-1,STEAM_1:1:15152890,CLG hazed,CLG
2302523-1,STEAM_1:1:9108123,CLG tarik,CLG
2302523-1,STEAM_1:1:12434296,Splyce JR,Splyce
2302523-1,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302523-1,STEAM_1:1:622699,Splyce summit,Splyce
2302523-1,STEAM_1:1:8441535,fREAKAZOiD,Splyce
2302523-1,STEAM_1:1:205888,Splyce arya,Splyce
2302524-0,STEAM_1:1:47387380,Team > Uber,Selfless
2302524-0,STEAM_1:0:6923914,ptr,NRG
2302524-0,STEAM_1:1:581082,gob b,NRG
2302524-0,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302524-0,STEAM_1:1:81679260,Team > Nifty,Selfless
2302524-0,STEAM_1:1:10621143,LEGIJA [M],NRG
2302524-0,STEAM_1:0:141156180,Team > mitch,Selfless
2302524-0,STEAM_1:0:5286395,Team > Relyks,Selfless
2302524-0,STEAM_1:0:57826746,just9n:>,NRG
2302524-0,STEAM_1:0:14468881,SileNt^v^,NRG
2302524-0,STEAM_1:0:14468881,SileNt^v^,NRG
2302524-1,STEAM_1:0:141156180,Team > mitch,Selfless
2302524-1,STEAM_1:1:581082,gob b,NRG
2302524-1,STEAM_1:1:81679260,Team > Nifty,Selfless
2302524-1,STEAM_1:1:10621143,LEGIJA [M],NRG
2302524-1,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302524-1,STEAM_1:0:6923914,ptr,NRG
2302524-1,STEAM_1:0:5286395,Team > Relyks,Selfless
2302524-1,STEAM_1:0:57826746,just9n:>,NRG
2302524-1,STEAM_1:0:14468881,SileNt^v^,NRG
2302524-1,STEAM_1:1:47387380,Team > Uber,Selfless
2302524-2,STEAM_1:1:10621143,LEGIJA [M],NRG
2302524-2,STEAM_1:0:5286395,Team > Relyks,Selfless
2302524-2,STEAM_1:1:81679260,Team > Nifty,Selfless
2302524-2,STEAM_1:0:6923914,ptr,NRG
2302524-2,STEAM_1:1:47387380,Team > Uber,Selfless
2302524-2,STEAM_1:1:47387380,Team > Uber,Selfless
2302524-2,STEAM_1:1:581082,gob b,NRG
2302524-2,STEAM_1:0:14468881,SileNt^v^,NRG
2302524-2,STEAM_1:0:57826746,just9n:>,NRG
2302524-2,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302524-2,STEAM_1:0:141156180,Team > mitch,Selfless
2302525-0,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302525-0,STEAM_1:1:15152890,CLG hazed,CLG
2302525-0,STEAM_1:0:54380041,CLG FugLy,CLG
2302525-0,STEAM_1:1:9108123,CLG tarik,CLG
2302525-0,STEAM_1:0:377643,n0thing,Cloud9
2302525-0,STEAM_1:1:10537862,Skadoodle,Cloud9
2302525-0,STEAM_1:0:259380,CLG Cutler,CLG
2302525-0,STEAM_1:0:2257963,shroud,Cloud9
2302525-0,STEAM_1:0:3611826,CLG tjm^v^,CLG
2302525-0,STEAM_1:1:189358,Slemmy,Cloud9
2302525-1,STEAM_1:0:54380041,CLG FugLy,CLG
2302525-1,STEAM_1:1:10537862,Skadoodle,Cloud9
2302525-1,STEAM_1:0:2257963,shroud,Cloud9
2302525-1,STEAM_1:1:189358,Slemmy,Cloud9
2302525-1,STEAM_1:0:259380,CLG Cutler,CLG
2302525-1,STEAM_1:0:377643,n0thing,Cloud9
2302525-1,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302525-1,STEAM_1:1:9108123,CLG tarik,CLG
2302525-1,STEAM_1:1:15152890,CLG hazed,CLG
2302525-1,STEAM_1:0:3611826,CLG tjm^v^,CLG
2302525-2,STEAM_1:1:189358,Slemmy,Cloud9
2302525-2,STEAM_1:0:2257963,shroud,Cloud9
2302525-2,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302525-2,STEAM_1:1:9108123,CLG tarik,CLG
2302525-2,STEAM_1:0:377643,n0thing,Cloud9
2302525-2,STEAM_1:0:259380,CLG Cutler,CLG
2302525-2,STEAM_1:0:54380041,CLG FugLy,CLG
2302525-2,STEAM_1:1:10537862,Skadoodle,Cloud9
2302525-2,STEAM_1:1:15152890,CLG hazed,CLG
2302525-2,STEAM_1:0:3611826,CLG tjm^v^,CLG
2302526-0,STEAM_1:1:53214005,EliGEQ2,Liquid
2302526-0,STEAM_1:0:80795,KoOsta,Liquid
2302526-0,STEAM_1:1:683016,adreN,Liquid
2302526-0,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302526-0,STEAM_1:0:5286395,Team > Relyks,Selfless
2302526-0,STEAM_1:1:81679260,Team > Nifty,Selfless
2302526-0,STEAM_1:0:141156180,Team > mitch,Selfless
2302526-0,STEAM_1:0:17812001,nitr04jDm,Liquid
2302526-0,STEAM_1:1:1395,Hiko,Liquid
2302526-0,STEAM_1:1:47387380,Team > Uber,Selfless
2302526-1,STEAM_1:0:141156180,Team > mitch,Selfless
2302526-1,STEAM_1:0:17812001,nitr04jDm,Liquid
2302526-1,STEAM_1:0:80795,KoOsta,Liquid
2302526-1,STEAM_1:1:81679260,Team > Nifty,Selfless
2302526-1,STEAM_1:1:1395,Hiko,Liquid
2302526-1,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302526-1,STEAM_1:1:47387380,Team > Uber,Selfless
2302526-1,STEAM_1:1:53214005,EliGEQ2,Liquid
2302526-1,STEAM_1:0:5286395,Team > Relyks,Selfless
2302526-1,STEAM_1:1:683016,adreN,Liquid
2302559-0,STEAM_1:0:11382883,TS felpsJS <Curse>,Tempo Storm
2302559-0,STEAM_1:0:2257963,shroud,Cloud9
2302559-0,STEAM_1:0:2257963,shroud,Cloud9
2302559-0,STEAM_1:1:189358,Slemmy,Cloud9
2302559-0,STEAM_1:1:189358,Slemmy,Cloud9
2302559-0,STEAM_1:1:10537862,Skadoodle,Cloud9
2302559-0,STEAM_1:1:10537862,Skadoodle,Cloud9
2302559-0,STEAM_1:0:29056836,TS boltz <Curse>,Tempo Storm
2302559-0,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302559-0,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302559-0,STEAM_1:0:48969457,TS SHOOWTiME <g2a>,Tempo Storm
2302559-0,STEAM_1:0:377643,n0thing,Cloud9
2302559-0,STEAM_1:0:377643,n0thing,Cloud9
2302559-0,STEAM_1:0:2390312,TS LUCAS1 <GFUEL>,Tempo Storm
2302559-0,STEAM_1:1:28880767,TS HEN1 <Twitch>,Tempo Storm
2302559-1,STEAM_1:1:10537862,Skadoodle,Cloud9
2302559-1,STEAM_1:0:48969457,TS SHOOWTiME <g2a>,Tempo Storm
2302559-1,STEAM_1:0:11382883,TS felpsJS <Curse>,Tempo Storm
2302559-1,STEAM_1:0:2257963,shroud,Cloud9
2302559-1,STEAM_1:1:28880767,TS HEN1 <Twitch>,Tempo Storm
2302559-1,STEAM_1:1:189358,Slemmy,Cloud9
2302559-1,STEAM_1:0:29056836,TS boltz <Curse>,Tempo Storm
2302559-1,STEAM_1:0:2390312,TS LUCAS1 <GFUEL>,Tempo Storm
2302559-1,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302559-1,STEAM_1:0:377643,n0thing,Cloud9
2302559-2,STEAM_1:0:377643,n0thing,Cloud9
2302559-2,STEAM_1:1:28880767,TS HEN1 <Twitch>,Tempo Storm
2302559-2,STEAM_1:0:11382883,TS felpsJS <Curse>,Tempo Storm
2302559-2,STEAM_1:0:2257963,shroud,Cloud9
2302559-2,STEAM_1:0:2390312,TS LUCAS1 <GFUEL>,Tempo Storm
2302559-2,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302559-2,STEAM_1:0:48969457,TS SHOOWTiME <g2a>,Tempo Storm
2302559-2,STEAM_1:0:29056836,TS boltz <Curse>,Tempo Storm
2302559-2,STEAM_1:1:189358,Slemmy,Cloud9
2302559-2,STEAM_1:1:10537862,Skadoodle,Cloud9
2302560-0,STEAM_1:0:80795,KoOsta,Liquid
2302560-0,STEAM_1:1:39860435,LG * coldzera:v <HyperX>,Luminosity
2302560-0,STEAM_1:0:85089287,LG * fnxNTC -aa-,Luminosity
2302560-0,STEAM_1:1:212233,LG * FALLEN <Wild>,Luminosity
2302560-0,STEAM_1:1:53214005,EliGEQ2,Liquid
2302560-0,STEAM_1:1:19460609,LG * ferMii <EGB>,Luminosity
2302560-0,STEAM_1:0:17812001,nitr04jDm,Liquid
2302560-0,STEAM_1:0:26438284,LG * TACO <CyberPower>,Luminosity
2302560-0,STEAM_1:1:683016,adreN,Liquid
2302560-0,STEAM_1:1:1395,Hiko <3 Mom,Liquid
2302560-1,STEAM_1:0:26438284,LG * TACO <CyberPower>,Luminosity
2302560-1,STEAM_1:1:1395,Hiko <3 Mom,Liquid
2302560-1,STEAM_1:0:85089287,LG * fnxNTC -aa-,Luminosity
2302560-1,STEAM_1:1:19460609,LG * ferMii <EGB>,Luminosity
2302560-1,STEAM_1:1:53214005,EliGEQ2,Liquid
2302560-1,STEAM_1:1:39860435,LG * coldzera:v <HyperX>,Luminosity
2302560-1,STEAM_1:1:212233,LG * FALLEN <Wild>,Luminosity
2302560-1,STEAM_1:0:80795,KoOsta,Liquid
2302560-1,STEAM_1:1:683016,adreN,Liquid
2302560-1,STEAM_1:0:17812001,nitr04jDm,Liquid
2302562-0,STEAM_1:0:2390312,TS LUCAS1 fnxNTC,Tempo Storm
2302562-0,STEAM_1:0:2390312,TS LUCAS1 fnxNTC,Tempo Storm
2302562-0,STEAM_1:1:212233,LG * FALLEN<3HEN <Wild>,Luminosity
2302562-0,STEAM_1:0:26438284,LG * TACO<3showtime <CyberPower>,Luminosity
2302562-0,STEAM_1:0:85089287,LG * fnxNTC LUCAS1,Luminosity
2302562-0,STEAM_1:0:29056836,TS boltz <3cold,Tempo Storm
2302562-0,STEAM_1:0:29056836,TS boltz <3cold,Tempo Storm
2302562-0,STEAM_1:0:48969457,TS SHOOWTiME  TACO,Tempo Storm
2302562-0,STEAM_1:0:48969457,TS SHOOWTiME  TACO,Tempo Storm
2302562-0,STEAM_1:1:19460609,LG * ferfelps <EGB>,Luminosity
2302562-0,STEAM_1:1:28880767,TS HEN1 FalleN,Tempo Storm
2302562-0,STEAM_1:1:28880767,TS HEN1 FALLEN,Tempo Storm
2302562-0,STEAM_1:1:39860435,LG * coldzera:v<3boltz <HyperX>,Luminosity
2302562-0,STEAM_1:0:11382883,TS felpsJS fer,Tempo Storm
2302562-0,STEAM_1:0:11382883,TS felpsJS fer,Tempo Storm
2302562-1,STEAM_1:1:212233,LG * FALLEN<3HEN <Wild>,Luminosity
2302562-1,STEAM_1:0:48969457,TS SHOOWTiME  TACO,Tempo Storm
2302562-1,STEAM_1:0:85089287,LG * fnxNTC LUCAS1,Luminosity
2302562-1,STEAM_1:0:11382883,TS felpsJS fer,Tempo Storm
2302562-1,STEAM_1:1:28880767,TS HEN1 FALLEN,Tempo Storm
2302562-1,STEAM_1:1:39860435,LG * coldzera:v<3boltz <HyperX>,Luminosity
2302562-1,STEAM_1:1:19460609,LG * ferfelps <EGB>,Luminosity
2302562-1,STEAM_1:0:29056836,TS boltz <3cold,Tempo Storm
2302562-1,STEAM_1:0:26438284,LG * TACO<3showtime <CyberPower>,Luminosity
2302562-1,STEAM_1:0:2390312,TS LUCAS1 fnxNTC,Tempo Storm
2300722-0,STEAM_1:1:26629068,B1ad3,FlipSid3.ESP
2300722-0,STEAM_1:1:2833630,markeloff,FlipSid3.ESP
2300722-0,STEAM_1:0:18366094,WorldEdit,FlipSid3.ESP
2300722-0,STEAM_1:1:23459321,bondik ;wf,FlipSid3.ESP
2300722-0,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300722-0,STEAM_1:0:26665464,Shara ;wf,FlipSid3.ESP
2300722-0,STEAM_1:0:26665464,Shara ;wf,FlipSid3.ESP
2300722-0,STEAM_1:1:9777492,CSGL SZPERO,Lounge Gaming
2300722-0,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300722-0,STEAM_1:1:13281766,CSGL innocent,Lounge Gaming
2300722-0,STEAM_1:0:14677363,CSGL minise^,Lounge Gaming
2300722-1,STEAM_1:0:26665464,Shara ;wf,FlipSid3.ESP
2300722-1,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300722-1,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300722-1,STEAM_1:1:13281766,CSGL innocent,Lounge Gaming
2300722-1,STEAM_1:1:9777492,CSGL SZPERO,Lounge Gaming
2300722-1,STEAM_1:0:18366094,WorldEdit,FlipSid3.ESP
2300722-1,STEAM_1:0:14677363,CSGL minise^,Lounge Gaming
2300722-1,STEAM_1:1:2833630,markeloff,FlipSid3.ESP
2300722-1,STEAM_1:1:23459321,bondik ;wf,FlipSid3.ESP
2300722-1,STEAM_1:1:26629068,B1ad3,FlipSid3.ESP
2300723-1,STEAM_1:0:11083181,Fuk5 *CRUCIAL,LDLC White
2300723-1,STEAM_1:0:14136688,CHRISJ,mousesports
2300723-1,STEAM_1:1:26514823,bodyy * Cooler Master,LDLC White
2300723-1,STEAM_1:0:90715110,matH_9},LDLC White
2300723-1,STEAM_1:1:26969563,to1nou * Intel,LDLC White
2300723-1,STEAM_1:0:40708825,NiKo,mousesports
2300723-1,STEAM_1:0:15592688,denis,mousesports
2300723-1,STEAM_1:1:22119311,DEVIL  * ASUS,LDLC White
2300723-1,STEAM_1:1:45189386,nex,mousesports
2300723-1,STEAM_1:1:6732537,Spiidi,mousesports
2300724-0,STEAM_1:1:5178740,Vexed Hyper * eBettle.com,Vexed
2300724-0,STEAM_1:1:27964215,STYKO  N GAMDIAS.com,HellRaisers
2300724-0,STEAM_1:0:39681228,repo'r' csgominute.com,Vexed
2300724-0,STEAM_1:1:20778269,KUCHER csgoskinny.com,HellRaisers
2300724-0,STEAM_1:0:15583369,rallenHulk,Vexed
2300724-0,STEAM_1:0:22376265,GruBy P * eBettle.com,Vexed
2300724-0,STEAM_1:1:88747936,Vexed FuRLaN * CSGOMINUTE.COM,Vexed
2300724-0,STEAM_1:1:17161067,Zero Senpai twitch.tv,HellRaisers
2300724-0,STEAM_1:1:17161067,Zero Senpai twitch.tv,HellRaisers
2300724-0,STEAM_1:1:29465181,ANGE1YL csgoskinny.com,HellRaisers
2300724-0,STEAM_1:0:85712544,oskar,HellRaisers
2300724-1,STEAM_1:1:5178740,Vexed Hyper * eBettle.com,Vexed
2300724-1,STEAM_1:0:39681228,repo'r' csgominute.com,Vexed
2300724-1,STEAM_1:1:17161067,Zero Senpai twitch.tv,HellRaisers
2300724-1,STEAM_1:0:15583369,rallenHulk,Vexed
2300724-1,STEAM_1:1:29465181,ANGE1YL csgoskinny.com,HellRaisers
2300724-1,STEAM_1:0:85712544,oskar,HellRaisers
2300724-1,STEAM_1:1:88747936,Vexed FuRLaN * CSGOMINUTE.COM,Vexed
2300724-1,STEAM_1:1:27964215,STYKO  N GAMDIAS.com,HellRaisers
2300724-1,STEAM_1:0:22376265,GruBy P * eBettle.com,Vexed
2300724-1,STEAM_1:1:20778269,KUCHER csgoskinny.com,HellRaisers
2300725-0,STEAM_1:1:23008149,v1c7oR1g,E-frag.net 
2300725-0,STEAM_1:0:23661375,aTTaX stfN,ALTERNATE aTTaX 
2300725-0,STEAM_1:1:3183513,aTTaX kzy,ALTERNATE aTTaX 
2300725-0,STEAM_1:0:18645604,aTTaX tiziaN,ALTERNATE aTTaX 
2300725-0,STEAM_1:0:6563628,aTTaX crisby,ALTERNATE aTTaX 
2300725-0,STEAM_1:1:92024528,spyleader1g,E-frag.net 
2300725-0,STEAM_1:0:25635518,aTTaX keevE ;>,ALTERNATE aTTaX 
2300725-0,STEAM_1:1:32152017,nkl,E-frag.net 
2300725-0,STEAM_1:1:97394967,dream3rwOw,E-frag.net 
2300725-0,STEAM_1:1:20351188,bubbleONFiRE,E-frag.net 
2300725-1,STEAM_1:0:25635518,aTTaX keevE ;>,ALTERNATE aTTaX
2300725-1,STEAM_1:0:23661375,aTTaX stfN,ALTERNATE aTTaX
2300725-1,STEAM_1:1:92024528,spyleader1g,Efrag.net
2300725-1,STEAM_1:1:20351188,bubbleONFiRE,Efrag.net
2300725-1,STEAM_1:1:23008149,v1c7oR1g,Efrag.net
2300725-1,STEAM_1:0:6563628,aTTaX crisby,ALTERNATE aTTaX
2300725-1,STEAM_1:0:18645604,aTTaX tiziaN,ALTERNATE aTTaX
2300725-1,STEAM_1:1:3183513,aTTaX kzy,ALTERNATE aTTaX
2300725-1,STEAM_1:1:32152017,nkl,Efrag.net
2300725-1,STEAM_1:1:97394967,dream3rwOw,Efrag.net
2300762-0,STEAM_1:1:13281766,CSGL innocent,Lounge Gaming
2300762-0,STEAM_1:1:9777492,CSGL geRo,Lounge Gaming
2300762-0,STEAM_1:0:14677363,CSGL minise^,Lounge Gaming
2300762-0,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300762-0,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300762-0,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300762-0,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300762-0,STEAM_1:0:39681228,repo'r' csgominute.com,Vexed
2300762-0,STEAM_1:1:88747936,Vexed FuRLaN * CSGOMINUTE.COM,Vexed
2300762-0,STEAM_1:0:15583369,rallenHulk,Vexed
2300762-0,STEAM_1:0:22376265,GruBy P * eBettle.com,Vexed
2300762-0,STEAM_1:1:5178740,Vexed Hyper * eBettle.com,Vexed
2300762-1,STEAM_1:0:39681228,repo'r' csgominute.com,Vexed
2300762-1,STEAM_1:0:14677363,CSGL minise^,Lounge Gaming
2300762-1,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300762-1,STEAM_1:1:13281766,CSGL innocent,Lounge Gaming
2300762-1,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300762-1,STEAM_1:1:5178740,Vexed Hyper * eBettle.com,Vexed
2300762-1,STEAM_1:0:22376265,GruBy P * eBettle.com,Vexed
2300762-1,STEAM_1:1:88747936,Vexed FuRLaN * CSGOMINUTE.COM,Vexed
2300762-1,STEAM_1:1:9777492,CSGL SZPERO,Lounge Gaming
2300762-1,STEAM_1:0:15583369,rallenHulk,Vexed
2300762-2,STEAM_1:1:19232402,CSGL -mouzinhop-,Lounge Gaming
2300762-2,STEAM_1:0:22376265,GruBy P * eBettle.com,Vexed
2300762-2,STEAM_1:1:88747936,Vexed FuRLaN * CSGOMINUTE.COM,Vexed
2300762-2,STEAM_1:0:15583369,rallenHulk,Vexed
2300762-2,STEAM_1:0:14677363,CSGL minise^,Lounge Gaming
2300762-2,STEAM_1:1:13281766,CSGL innocent,Lounge Gaming
2300762-2,STEAM_1:1:5178740,Vexed Hyper * eBettle.com,Vexed
2300762-2,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300762-2,STEAM_1:1:30179537,CSGL MICHU,Lounge Gaming
2300762-2,STEAM_1:1:9777492,CSGL geRo,Lounge Gaming
2300762-2,STEAM_1:1:9777492,CSGL geRo,Lounge Gaming
2300762-2,STEAM_1:0:39681228,repo'r' csgominute.com,Vexed
2300763-0,STEAM_1:1:26514823,bodyy * Cooler Master,LDLC White
2300763-0,STEAM_1:0:23661375,aTTaX stfN,Alternate Attax
2300763-0,STEAM_1:0:90715110,matH_9},LDLC White
2300763-0,STEAM_1:0:18645604,aTTaX tiziaN,Alternate Attax
2300763-0,STEAM_1:0:6563628,aTTaX crisby,Alternate Attax
2300763-0,STEAM_1:0:11083181,Fuk5 *CRUCIAL,LDLC White
2300763-0,STEAM_1:1:3183513,aTTaX kzy,Alternate Attax
2300763-0,STEAM_1:1:26969563,to1nou * Intel,LDLC White
2300763-0,STEAM_1:0:25635518,aTTaX keevE ;>,Alternate Attax
2300763-0,STEAM_1:1:22119311,DEVIL  * ASUS,LDLC White
2300763-0,STEAM_1:1:22119311,DEVIL  * ASUS,LDLC White
2300763-1,STEAM_1:1:3183513,aTTaX kzy,Alternate Attax
2300763-1,STEAM_1:1:22119311,DEVIL  * ASUS,LDLC White
2300763-1,STEAM_1:1:26969563,to1nou * Intel,LDLC White
2300763-1,STEAM_1:0:11083181,Fuk5 *CRUCIAL,LDLC White
2300763-1,STEAM_1:1:26514823,bodyy * Cooler Master,LDLC White
2300763-1,STEAM_1:0:90715110,matH_9},LDLC White
2300763-1,STEAM_1:0:6563628,aTTaX crisby,Alternate Attax
2300763-1,STEAM_1:0:23661375,aTTaX stfN,Alternate Attax
2300763-1,STEAM_1:0:25635518,aTTaX keevE ;>,Alternate Attax
2300763-1,STEAM_1:0:18645604,aTTaX tiziaN,Alternate Attax
2300763-2,STEAM_1:0:18645604,aTTaX tiziaN,Alternate Attax
2300763-2,STEAM_1:0:25635518,aTTaX keevE ;>,Alternate Attax
2300763-2,STEAM_1:0:23661375,aTTaX stfN,Alternate Attax
2300763-2,STEAM_1:0:6563628,aTTaX crisby,Alternate Attax
2300763-2,STEAM_1:1:3183513,aTTaX kzy,Alternate Attax
2300763-2,STEAM_1:1:22119311,DEVIL  * ASUS,LDLC White
2300763-2,STEAM_1:0:90715110,matH_9},LDLC White
2300763-2,STEAM_1:1:26969563,to1nou * Intel,LDLC White
2300763-2,STEAM_1:0:11083181,Fuk5 *CRUCIAL,LDLC White
2300763-2,STEAM_1:1:26514823,bodyy * Cooler Master,LDLC White
2300764-0,STEAM_1:1:32152017,nkl,E-Frag.net
2300764-0,STEAM_1:1:6732537,Spiidi,mousesports
2300764-0,STEAM_1:0:40708825,NiKo,mousesports
2300764-0,STEAM_1:1:45189386,nex,mousesports
2300764-0,STEAM_1:0:14136688,CHRISJ,mousesports
2300764-0,STEAM_1:0:15592688,denis,mousesports
2300764-0,STEAM_1:1:23008149,v1c7oR1g,E-Frag.net
2300764-0,STEAM_1:1:92024528,spyleader1g,E-Frag.net
2300764-0,STEAM_1:1:97394967,dream3rwOw,E-Frag.net
2300764-0,STEAM_1:1:20351188,bubbleONFiRE,E-Frag.net
2300764-1,STEAM_1:0:40708825,NiKo,mousesports
2300764-1,STEAM_1:1:6732537,Spiidi,mousesports
2300764-1,STEAM_1:0:14136688,CHRISJ,mousesports
2300764-1,STEAM_1:1:45189386,nex,mousesports
2300764-1,STEAM_1:0:15592688,denis,mousesports
2300764-1,STEAM_1:1:97394967,dream3rwOw,E-Frag.net
2300764-1,STEAM_1:1:23008149,v1c7oR1g,E-Frag.net
2300764-1,STEAM_1:1:92024528,spyleader1g,E-Frag.net
