2300763-0,1,Alternate Attax,LDLC White,2,-10450,-1800,0,0,10,7,3,4
2300763-0,16,LDLC White,Alternate Attax,2,-11050,-4500,0,5,3,8,5,5
2300763-1,1,LDLC White,Alternate Attax,3,9550,1200,0,0,9,5,5,4
2300763-1,16,Alternate Attax,LDLC White,3,7100,-1200,1,3,7,3,2,5
2300763-2,1,LDLC White,Alternate Attax,2,-10150,-1200,0,0,11,6,3,4
2300763-2,16,Alternate Attax,LDLC White,3,7100,-300,1,0,8,3,2,4
2300764-0,1,E-Frag.net,mousesports,3,10750,2400,0,0,8,7,4,4
2300764-0,16,mousesports,E-Frag.net,2,-10500,-1500,1,4,3,6,3,5
2300764-1,1,E-Frag.net,mousesports,2,-10150,-1500,0,1,7,6,4,4
2300764-1,16,mousesports,E-Frag.net,3,10150,1200,0,0,5,1,3,4
2300765-0,1,FlipSid3.ESP,HellRaisers,2,-10150,-600,0,0,8,4,4,4
2300765-0,16,HellRaisers,FlipSid3.ESP,3,7100,1200,1,1,2,3,4,4
2300765-1,1,HellRaisers,FlipSid3.ESP,2,-10750,-1800,1,0,7,5,4,4
2300765-1,16,FlipSid3.ESP,HellRaisers,3,10450,1200,1,2,2,4,4,4
2300777-0,1,Lounge Gaming,E-frag.net,3,7100,600,0,0,9,4,4,5
2300777-0,16,E-frag.net,Lounge Gaming,2,-10450,-600,0,0,0,4,5,3
2300777-1,1,E-frag.net,Lounge Gaming,3,9850,1800,0,0,5,6,5,4
2300777-1,16,Lounge Gaming,E-frag.net,3,10450,1200,0,1,5,2,3,3
2300778-0,1,HellRaisers,Alternate Attax,3,6800,1200,0,0,6,6,5,4
2300778-0,16,Alternate Attax,HellRaisers,2,-9850,-1800,1,3,8,2,2,4
2300778-1,1,HellRaisers,Alternate Attax,2,-10450,-1200,1,0,6,5,4,4
2300778-1,16,Alternate Attax,HellRaisers,3,7400,1800,0,0,3,1,4,4
2300778-2,1,HellRaisers,Alternate Attax,3,7700,2100,1,0,6,7,4,3
2300778-2,16,Alternate Attax,HellRaisers,3,10750,1800,0,0,7,5,3,3
2300413-0,1,FaZe,Luminosity,2,-10150,-1500,0,1,8,5,4,4
2300413-0,16,Luminosity,FaZe,3,7700,3600,4,0,3,4,4,3
2300414-0,1,Astralis,dignitas,2,-11050,-2400,0,0,8,6,4,4
2300414-0,16,dignitas,Astralis,2,-10750,-1800,0,0,3,3,4,4
2300427-0,1,Na'Vi,FaZe,2,-10750,-600,0,0,8,13,4,2
2300427-0,16,FaZe,Na'Vi,3,6800,600,0,0,7,3,4,3
2300428-0,1,mousesports,Astralis,2,-11050,-2700,1,1,7,8,3,4
2300428-0,16,Astralis,mousesports,3,9850,900,1,2,2,3,4,4
2300429-0,1,Luminosity,SK Gaming,2,-10150,-1500,1,0,11,6,2,4
2300429-0,16,SK Gaming,Luminosity,3,9850,600,2,0,8,2,2,4
2300429-1,1,SK Gaming,Luminosity,3,7400,1200,0,0,8,8,4,3
2300429-1,16,Luminosity,SK Gaming,3,5600,0,0,2,4,1,4,4
2300429-2,1,Luminosity,SK Gaming,2,-10750,-1800,1,0,7,5,4,4
2300429-2,16,SK Gaming,Luminosity,2,-10450,-900,1,1,5,5,3,3
2300430-0,1,Virtus.pro,dignitas,3,10750,1500,1,0,14,5,2,5
2300430-0,16,dignitas,Virtus.pro,3,7700,2100,1,0,5,7,3,3
2300430-1,1,Virtus.pro,dignitas,2,-10450,-2400,1,0,9,5,4,5
2300430-1,16,dignitas,Virtus.pro,2,-10750,-3000,0,2,9,7,2,5
2300430-2,1,Virtus.pro,dignitas,3,10750,1800,0,0,13,5,3,5
2300430-2,16,dignitas,Virtus.pro,3,10450,2700,1,0,2,6,4,4
2300437-0,1,Luminosity,FaZe,2,-10150,0,0,0,6,9,5,3
2300437-0,16,FaZe,Luminosity,3,10750,-3800,0,4,5,7,4,4
2300437-1,1,Luminosity,FaZe,2,-10750,-1800,0,0,9,5,3,4
2300437-1,16,FaZe,Luminosity,2,-10150,0,2,0,1,3,5,4
2300438-0,1,dignitas,mousesports,2,-9850,-600,0,0,7,8,4,3
2300438-0,16,mousesports,dignitas,3,10450,1500,1,0,3,2,3,5
2300438-1,1,mousesports,dignitas,2,-9850,-1500,1,0,7,5,3,5
2300438-1,16,dignitas,mousesports,2,-10450,-2400,1,2,8,1,2,4
2300439-0,1,Luminosity,Astralis,2,-10450,-300,1,1,7,10,4,2
2300439-0,16,Astralis,Luminosity,3,7700,1200,0,0,8,1,3,4
2300439-1,1,Luminosity,Astralis,2,-10800,-600,0,0,11,12,3,3
2300439-1,16,Astralis,Luminosity,2,-9850,-300,1,1,4,1,4,4
2300440-0,1,dignitas,Na'Vi,2,-9850,-2100,0,1,9,6,3,4
2300440-0,16,Na'Vi,dignitas,2,-10450,-3300,1,1,4,1,3,5
2300440-1,1,dignitas,Na'Vi,3,7100,600,2,0,10,6,2,4
2300440-1,16,Na'Vi,dignitas,3,7100,300,0,3,4,1,4,5
2300444-0,1,Na'Vi,Luminosity,2,-10750,-1800,0,0,8,5,4,4
2300444-0,16,Luminosity,Na'Vi,3,11000,3300,1,1,7,1,3,4
2300444-1,1,Luminosity,Na'Vi,2,-10500,0,0,0,9,5,4,5
2300444-1,16,Na'Vi,Luminosity,2,-11400,0,1,1,1,2,5,3
2300270-0,1,CyberZen,Natus Vincere,2,-10750,-1800,0,0,9,7,4,4
2300270-0,16,Natus Vincere,CyberZen,3,10750,-4400,1,4,2,3,4,4
2300270-1,1,Natus Vincere,CyberZen,2,-11050,-2400,2,1,2,5,3,3
2300270-1,16,CyberZen,Natus Vincere,3,8000,-10000,1,1,5,4,3,4
2300271-0,1,Gamers2,Luminosity,3,7100,1500,0,1,9,9,4,2
2300271-0,16,Luminosity,Gamers2,2,-10750,-1800,2,0,8,2,4,4
2300271-1,1,Luminosity,G2.Kinguin,3,9850,600,0,0,8,6,4,4
2300271-1,16,G2.Kinguin,Luminosity,3,10450,2700,3,0,4,4,4,3
2300272-0,1,Natus Vincere,Luminosity,2,-11050,-1200,0,0,9,11,4,2
2300272-0,16,Luminosity,Natus Vincere,3,7400,2700,3,0,6,4,3,3
2300272-1,1,Luminosity,Natus Vincere,2,-10150,-600,0,0,8,6,4,4
2300272-1,16,Natus Vincere,Luminosity,3,7100,-1500,1,0,5,2,3,8
2300273-0,1,CyberZen,G2.Kinguin,2,-10450,-1200,1,0,7,5,4,4
2300273-0,16,G2.Kinguin,CyberZen,3,6800,600,0,1,1,3,5,4
2300273-1,1,CyberZen,G2.Kinguin,2,-11050,-1800,1,0,8,9,4,3
2300273-1,16,G2.Kinguin,CyberZen,2,-10750,-1800,0,0,4,6,4,4
2300273-2,1,G2.Kinguin,CyberZen,3,7400,1200,0,0,11,8,4,4
2300273-2,16,CyberZen,G2.Kinguin,3,7100,600,1,2,6,2,3,4
2300274-0,1,Natus Vincere,Gamers2,2,-9850,-1200,0,0,7,5,4,5
2300274-0,16,Gamers2,Natus Vincere,2,-10150,-1200,0,0,6,1,4,5
2300274-1,1,Natus Vincere,G2.Kinguin,2,-9850,-600,0,0,9,6,4,4
2300274-1,16,G2.Kinguin,Natus Vincere,3,10750,-100,0,4,1,1,5,5
2300275-0,1,Fnatic,Team EnVyUS,3,9850,300,1,0,10,5,3,5
2300275-0,16,Team EnVyUS,Fnatic,3,10150,300,1,4,4,9,3,4
2300275-1,1,Fnatic,Team EnVyUS,2,-11400,-600,0,0,8,8,4,3
2300275-1,16,Team EnVyUS,Fnatic,2,-9850,-2400,1,5,2,8,4,5
2300276-0,1,Titan,QuestionMark,3,10450,2400,0,0,8,10,4,4
2300276-0,16,QuestionMark,Titan,2,-10450,-3300,1,3,8,3,3,5
2300276-1,1,Titan,QuestionMark,3,10750,3000,0,1,7,8,5,3
2300276-1,16,QuestionMark,Titan,3,7100,300,0,1,6,3,4,5
2300295-0,1,Team EnVyUS,QuestionMark,3,6800,600,0,1,7,7,4,4
2300295-0,16,QuestionMark,Team EnVyUS,3,10450,1800,0,0,7,0,4,5
2300295-1,1,QuestionMark,Team EnVyUS,2,-11050,-3000,1,0,9,5,4,5
2300295-1,16,Team EnVyUS,QuestionMark,3,10750,-5000,1,4,4,4,3,4
2300296-0,1,Fnatic,Titan,3,10750,1800,0,0,9,6,3,5
2300296-0,16,Titan,Fnatic,2,-9850,1200,4,0,3,1,5,4
2300296-1,1,Fnatic,Titan,2,-9850,-1800,0,0,12,6,3,5
2300296-1,16,Titan,Fnatic,2,-10150,-900,1,0,2,1,4,4
2300296-2,1,Fnatic,Titan,3,6800,0,0,0,8,6,4,5
2300296-2,16,Titan,Fnatic,3,7400,1200,1,1,2,1,4,4
2300297-0,1,Fnatic,QuestionMark,3,10450,1800,0,0,9,9,4,4
2300297-0,16,QuestionMark,Fnatic,2,-10150,-1800,0,2,7,1,4,4
2300297-1,1,QuestionMark,Fnatic,3,7100,1200,1,0,9,4,4,4
2300297-1,16,Fnatic,QuestionMark,2,-10750,-900,4,1,8,5,5,4
2300297-2,1,QuestionMark,Fnatic,3,10150,1200,1,0,12,4,3,4
2300297-2,16,Fnatic,QuestionMark,2,-10150,-600,4,1,3,3,4,4
2300315-0,1,G2.Kinguin,Fnatic,3,7700,2400,0,0,8,4,4,4
2300315-0,16,Fnatic,G2.Kinguin,2,-10500,0,0,0,3,2,4,4
2300315-1,1,Fnatic,G2.Kinguin,2,-10450,-1800,0,0,7,5,4,4
2300315-1,16,G2.Kinguin,Fnatic,3,10450,3600,4,0,2,1,5,4
2300316-0,1,Natus Vincere,QuestionMark,2,-10150,-1200,0,0,8,8,4,4
2300316-0,16,QuestionMark,Natus Vincere,3,10750,2400,2,0,7,3,3,4
2300316-1,1,Natus Vincere,QuestionMark,3,11250,1200,2,0,9,9,3,3
2300316-1,16,QuestionMark,Natus Vincere,2,-11050,-2700,0,1,7,1,4,4
2300316-2,1,Natus Vincere,QuestionMark,3,7400,1500,0,1,9,8,4,4
2300316-2,16,QuestionMark,Natus Vincere,3,10450,2100,1,2,4,2,4,3
2300317-0,1,Luminosity,Fnatic,2,-10750,-1800,0,0,8,4,4,4
2300317-0,16,Fnatic,Luminosity,2,-9550,600,0,0,0,5,5,3
2300317-1,1,Luminosity,Fnatic,2,-10150,-1200,0,0,8,4,4,4
2300317-1,16,Fnatic,Luminosity,2,-10150,-600,0,0,3,4,4,3
2300317-2,1,Fnatic,Luminosity,2,-9850,-600,0,0,8,6,4,4
2300317-2,16,Luminosity,Fnatic,3,10450,2400,2,0,3,2,4,4
2300318-0,1,Team EnVyUS,Natus Vincere,2,-10750,-2400,0,1,8,6,4,4
2300318-0,16,Natus Vincere,Team EnVyUS,2,-10450,-2400,1,0,4,1,3,5
2300318-1,1,Natus Vincere,Team EnVyUS,2,-10150,0,0,0,8,8,4,3
2300318-1,16,Team EnVyUS,Natus Vincere,3,7100,900,0,1,3,3,4,4
2300344-0,1,Natus Vincere,Fnatic,3,10150,1200,2,0,9,4,3,4
2300344-0,16,Fnatic,Natus Vincere,2,-10750,-3000,0,4,0,3,5,4
2300344-1,1,Fnatic,Natus Vincere,3,10750,3000,0,1,5,6,5,4
2300344-1,16,Natus Vincere,Fnatic,3,10150,900,1,0,5,1,3,4
2300570-0,1,EnVyUs,CLG,2,-9850,-300,1,0,7,6,4,4
2300570-0,16,CLG,EnVyUs,2,-10150,-1500,1,0,2,0,4,5
2300570-1,1,EnVyUs,CLG,3,7400,900,1,0,9,6,3,4
2300570-1,16,CLG,EnVyUs,3,10450,2400,1,0,2,1,4,4
2300570-2,1,EnVyUs,CLG,3,7100,1200,1,1,8,6,4,4
2300570-2,16,CLG,EnVyUs,3,8000,8900,1,1,2,3,4,4
2300571-0,1,FlipSid3 ESP,dignitas,3,10450,1800,0,0,7,5,4,5
2300571-0,16,dignitas,FlipSid3 ESP,3,10450,1200,0,2,3,2,4,4
2300571-1,1,FlipSid3 ESP,dignitas,3,10750,1800,0,0,10,5,3,5
2300571-1,16,dignitas,FlipSid3 ESP,3,10150,1200,0,0,7,4,3,4
2300584-0,1,CLG,Flipsid3 ESP,2,-9850,0,1,0,7,5,4,4
