/events/2258/esl-one-cologne-2016-main-qualifier,ESL One Cologne 2016 Main Qualifier,06/12/2016,Intl. LAN
/events/2187/sl-i-league-invitational-1,SL i-League Invitational #1,05/22/2016,Intl. LAN
/events/2130/esl-pro-league-season-3-finals,ESL Pro League Season 3 Finals,05/15/2016,Intl. LAN
/events/1954/dreamhack-austin-2016,DreamHack Austin 2016,05/08/2016,Intl. LAN
/events/2150/cevo-gfinity-professional-season-9-finals,CEVO Gfinity Professional Season 9 Finals,05/01/2016,Intl. LAN
/events/2099/dreamhack-masters-malm-2016,DreamHack Masters Malmö 2016,04/17/2016,Intl. LAN
/events/2027/mlg-columbus-2016,MLG Columbus 2016,04/03/2016,Major
/events/2059/copenhagen-games-2016,Copenhagen Games 2016,03/26/2016,Intl. LAN
/events/2034/counter-pit-league-season-2-finals,Counter Pit League Season 2 Finals,03/18/2016,Intl. LAN
/events/2036/iem-katowice-2016,IEM Katowice 2016,03/05/2016,Intl. LAN
/events/2148/pantamera-csgo-challenge-2016,Pantamera CS:GO Challenge 2016,02/28/2016,Intl. LAN
/events/2071/mlg-columbus-2016-main-qualifier,MLG Columbus 2016 Main Qualifier,02/28/2016,Intl. LAN
/events/2100/esl-barcelona-csgo-invitational-presented-by-mobile-world-congress,ESL Barcelona CS:GO Invitational presented by Mobile World Congress,02/21/2016,Intl. LAN
/events/1958/acer-predator-masters-powered-by-intel-season-2-finals,Acer Predator Masters powered by Intel Season 2 Finals,02/14/2016,Intl. LAN
/events/2013/game-show-global-esports-cup-2016-finals,Game Show Global eSports Cup 2016 Finals,02/07/2016,Intl. LAN
/events/1977/dreamhack-zowie-open-leipzig-2016,DreamHack ZOWIE Open Leipzig 2016,01/24/2016,Intl. LAN
/events/1978/sl-i-league-starseries-xiv-finals,SL i-League StarSeries XIV Finals,01/17/2016,Intl. LAN
/events/2080/eleague-road-to-vegas,ELEAGUE Road to Vegas,01/07/2016,Intl. LAN
/events/1986/esl-esea-pro-league-season-2-finals,ESL ESEA Pro League Season 2 Finals,12/13/2015,Intl. LAN
/events/1608/fragbite-masters-season-5-finals,Fragbite Masters Season 5 Finals,12/06/2015,Intl. LAN
/events/1615/faceit-league-2015-stage-3-finals-at-dh-winter-2015,FACEIT League 2015 Stage 3 Finals at DH Winter 2015,11/28/2015,Intl. LAN
/events/1865/iem-san-jose-2015,IEM San Jose 2015,11/22/2015,Intl. LAN
/events/1968/rgn-pro-series-championship,RGN Pro Series Championship,11/18/2015,Intl. LAN
/events/1853/cevo-professional-season-8-finals,CEVO Professional Season 8 Finals,11/08/2015,Intl. LAN
/events/1617/dreamhack-open-cluj-napoca-2015,DreamHack Open Cluj-Napoca 2015,11/01/2015,Major
/events/1949/crowns-counter-strike-invitational,Crown's Counter-Strike Invitational,10/10/2015,Intl. LAN
/events/1886/pgl-season-1-finals,PGL Season 1 Finals,10/04/2015,Intl. LAN
/events/1921/uprise-champions-cup-season-3-finals,Uprise Champions Cup Season 3 Finals,09/30/2015,Intl. LAN
/events/1621/gfinity-2015-champion-of-champions,Gfinity 2015 Champion of Champions,09/27/2015,Intl. LAN
/events/1693/dreamhack-open-cluj-napoca-2015-qualifier-at-dreamhack-open-stockholm,DreamHack Open Cluj-Napoca 2015 Qualifier at DreamHack Open Stockholm,09/26/2015,Intl. LAN
/events/1763/dreamhack-open-london-2015,DreamHack Open London 2015,09/20/2015,Intl. LAN
/events/1882/esl-esea-dubai-invitational-2015,ESL ESEA Dubai Invitational 2015,09/12/2015,Intl. LAN
/events/1764/gaming-paradise-2015,Gaming Paradise 2015,09/08/2015,Intl. LAN
/events/1907/fragbite-masters-champions-showdown,Fragbite Masters Champions Showdown,09/05/2015,Intl. LAN
/events/1666/esl-one-cologne-2015,ESL One Cologne 2015,08/23/2015,Major
/events/1861/iem-gamescom-2015,IEM Gamescom 2015,08/08/2015,Intl. LAN
/events/1757/acer-predator-masters-powered-by-intel-season-1-finals,Acer Predator Masters powered by Intel Season 1 Finals,08/02/2015,Intl. LAN
/events/1715/cevo-professional-season-7-finals,CEVO Professional Season 7 Finals,07/26/2015,Intl. LAN
